ENTIDAD;DESCRIPCION_URL;ID;LINK;DESCRICION_1;DESCRIPCION_2;DESCRIPCION_3;CONDICIONES
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-dolares-premio-en-la-peluqueria-francesa;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/dolares-premio-en-la-peluqueria-francesa;Peluquería Francesa Dólares-Premio;Consumo por $50.000;Un lugar donde se conjugan la historia de un barrio, la buena cocina y el arte.;"Consumo por $50.000;No incluye propina."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-dolares-premio-en-majestic;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/dolares-premio-en-majestic;Majestic Dólares-Premio;Consumo por $50.000;En una ambientación que evoca los grandes palacios de Oriente, Restaurant Majestic ofrece la más auténtica gastronomía india en Santiago. Nuestros platos, preparados con gran dedicación por nuestro Chef originario de India, han sido premiados por los más importantes críticos gastronómicos de Chile y han sido destacados a nivel internacional. Lo invitamos a disfrutar de una experiencia única para usted y su familia.;"Canjea tus Dólares-Premio en Majestic.;Consumo por $50.000.;No incluye propina."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-greta-retobar;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/greta-retobar;Greta Restobar;30% dcto. Todos los jueves en terraza;Tardes de terraza 30% dcto. Todos los jueves de febrero en restaurantes pagando con tus Tarjetas del Chile.;"Desde las 18:00 hrs. hasta cierre de Terrazas.;Tope de dcto. $30.000.;Descuento no acumulable con otras promociones.;Solicita tu descuento al momento de pagar."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-mix-sushi;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/mix-sushi;Mix Sushi;30% dcto. Todos los jueves en terraza;Tardes de terraza 30% dcto. Todos los jueves de febrero en restaurantes pagando con tus Tarjetas del Chile.;"Desde las 18:00 hrs. hasta cierre de Terrazas.;Tope de dcto. $30.000.;Descuento no acumulable con otras promociones.;Solicita tu descuento al momento de pagar."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-24-7;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/24-7;24.7;30% dcto. Todos los jueves en terraza;Tardes de terraza 30% dcto. Todos los jueves de febrero en restaurantes pagando con tus Tarjetas del Chile.;"Desde las 18:00 hrs. hasta cierre de Terrazas.;Tope de dcto. $30.000.;Descuento no acumulable con otras promociones.;Solicita tu descuento al momento de pagar."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-juan-maestro-2;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/juan-maestro-2;Juan Maestro;Miércoles 30% dcto. en compras presenciales.;Miércoles Juan Maestro;"30% dcto. en compras presenciales en cada restaurant.;Solicita tu descuento al momento de pagar con tus Tarjetas de Débito y Crédito Chile.;No acumulable con otras promociones."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-tommy-beans-2;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/tommy-beans-2;Tommy Beans;Miércoles 30% dcto. en compras presenciales.;MIÉRCOLES TOMMY BEANS;"30% dcto. en compras presenciales en cada restaurant.;Solicita tu descuento al momento de pagar con tus Tarjetas de Débito y Crédito Chile.;No acumulable con otras promociones."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-mamut-2;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/mamut-2;Mamut;Miércoles 30% dcto. en compras presenciales.;Miércoles Mamut;"30% dcto. en compras presenciales en cada restaurant.;Solicita tu descuento al momento de pagar con tus Tarjetas de Débito y Crédito Chile.;No acumulable con otras promociones."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-doggis-2;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/doggis-2;Doggis;Miércoles 30% dcto. en compras presenciales.;MIÉRCOLES DOGGIS;"30% dcto. en compras presenciales en cada restaurant.;Solicita tu descuento al momento de pagar con tus Tarjetas de Débito y Crédito Chile.;No acumulable con otras promociones."
BANCO DE CHILE;RESTAURANTES;ppp_beneficio-link-rappi-big5;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/rappi-big5;Rappi;Martes 40% dcto. en McDonald's pidiendo a través de Rappi.;Martes 40% dcto. en McDonald's pidiendo a través de Rappi.;"Tope de descuento $6.000;1 compra diaria por cliente. Descuento no válido en el despacho."
